delay,conditions,key_resp.rt,,expected,,unexpected
0.1,unexpected,0.5906589,,,,
0.1,unexpected,0.3730932,,,,
0.1,unexpected,0.6360695,,,,
0.1,unexpected,0.3433168,,,,
0.1,unexpected,0.9395384,,,,
0.1,unexpected,2.0118065,,,,
0.1,unexpected,2.3340532,,,,
0.1,unexpected,1.053626,,,,
0.1,unexpected,0.4326421,,,,
0.1,unexpected,0.4844096,,,,
0.1,unexpected,0.3097514,,,,
0.1,unexpected,0.6755722,,,,
0.1,unexpected,0.4381308,,,,
0.1,unexpected,0.7229519,,,,
0.1,unexpected,0.3636529,,,,
0.1,unexpected,0.3252158,,,,
0.1,unexpected,0.2610402,,,,
0.1,unexpected,0.3762479,,,,
0.1,unexpected,2.4162589,,,,
0.1,unexpected,0.144924,,,,
0.1,unexpected,0.9025415,,,,
0.1,unexpected,0.4110975,,,,
0.1,unexpected,0.3713163,,,,
0.1,unexpected,2.5452074,,,,
0.1,unexpected,0.0686109,,,,
0.1,unexpected,0.7236706,,,,
0.1,unexpected,0.4201431,,,,
0.1,unexpected,0.3349367,,,,
0.1,unexpected,0.5852962,,,,
0.1,unexpected,0.3603475,,,,
0.1,unexpected,0.9036411,,,,
0.1,unexpected,0.5491037,,,,
0.1,unexpected,0.6349317,,,,
0.1,unexpected,1.1569432,,,,
0.1,unexpected,0.3503968,,,,
0.1,unexpected,0.6469805,,,,
0.1,unexpected,1.6652745,,,,
0.1,unexpected,0.8862834,,,,
0.1,unexpected,1.3758975,,,,
0.1,unexpected,1.8435206,,,,
0.1,unexpected,0.5344596,,,,
0.1,unexpected,0.3383987,,,,
0.1,unexpected,0.715468,,,,
0.1,unexpected,0.4383283,,,,
0.1,unexpected,0.6310199,,,,
0.1,unexpected,0.5310005,,,,
0.1,unexpected,0.3893923,,,,
0.1,unexpected,0.5450993,,,,
0.1,unexpected,0.6291086,,,,
0.1,unexpected,0.387459,,,,
0.1,unexpected,1.0906964,,,,
0.1,unexpected,1.1712659,,,,
0.1,unexpected,0.4508921,,,,
0.1,unexpected,0.337999,,,,
0.1,unexpected,0.5012852,,,,
0.1,unexpected,0.5038028,,,,
0.4,unexpected,0.7997378,,,,
0.4,unexpected,0.6250645,,,,
0.4,unexpected,0.8426077,,,,
0.4,unexpected,1.4865404,,,,
0.4,unexpected,0.8988679,,,,
0.4,unexpected,0.6600064,,,,
0.4,unexpected,0.6364108,,,,
0.4,unexpected,0.5343388,,,,
0.4,unexpected,0.3203415,,,,
0.4,unexpected,0.3454199,,,,
0.4,unexpected,0.341312,,,,
0.4,unexpected,0.5609572,,,,
0.4,unexpected,1.1970745,,,,
0.4,unexpected,0.4661164,,,,
0.4,unexpected,0.5829737,,,,
0.4,unexpected,2.3009568,,,,
0.4,unexpected,0.2948427,,,,
0.4,unexpected,2.0008094,,,,
0.4,unexpected,2.3392678,,,,
0.4,unexpected,0.3744179,,,,
0.4,unexpected,1.9298236,,,,
0.4,unexpected,0.4867666,,,,
0.4,unexpected,0.3513465,,,,
0.4,unexpected,0.3209079,,,,
0.4,unexpected,1.0395087,,,,
0.4,unexpected,0.3113444,,,,
0.4,unexpected,0.3269093,,,,
0.4,unexpected,0.3451648,,,,
0.4,unexpected,0.4175832,,,,
0.4,unexpected,0.3688464,,,,
0.4,unexpected,0.6852512,,,,
0.4,unexpected,0.6566761,,,,
0.4,unexpected,0.3544605,,,,
0.4,unexpected,0.4171857,,,,
0.4,unexpected,0.786488,,,,
0.4,unexpected,1.5188203,,,,
0.4,unexpected,0.3462572,,,,
0.4,unexpected,0.6337414,,,,
0.4,unexpected,0.4991293,,,,
0.4,unexpected,0.4766715,,,,
0.4,unexpected,0.7774471,,,,
0.4,unexpected,1.0415219,,,,
0.4,unexpected,1.0312161,,,,
0.4,unexpected,0.4970501,,,,
0.4,unexpected,0.3587924,,,,
0.4,unexpected,0.3895429,,,,
0.4,unexpected,0.650827,,,,
0.4,unexpected,0.496192,,,,
0.4,unexpected,5.6425285,,,,
0.4,unexpected,1.2635513,,,,
0.4,unexpected,1.6923877,,,,
0.4,unexpected,0.6598987,,,,
0.4,unexpected,0.8972309,,,,
0.4,unexpected,0.8027514,,,,
